ITEM_CODE,ITEM_NAME,SALT,CATEGORY,COMPANY,Pack,MRP,STOCK
M001,GLYCOMET 500MG TAB,METFORMIN HYDROCHLORIDE,DIABETES,USV LTD,10,48.50,450
M002,GLYCOMET 850MG TAB,METFORMIN HYDROCHLORIDE,DIABETES,USV LTD,10,85.00,200
M003,AMARYL 1MG TAB,GLIMEPIRIDE,DIABETES,SANOFI INDIA,10,88.20,180
M004,AMARYL 2MG TAB,GLIMEPIRIDE,DIABETES,SANOFI INDIA,10,132.00,120
M005,AMLOKIND 5MG TAB,AMLODIPINE BESYLATE,BLOOD PRESSURE,MANKIND PHARMA,10,34.00,600
M006,TELMA 40MG TAB,TELMISARTAN,BLOOD PRESSURE,GLENMARK,10,122.50,320
M007,TELMA AM TAB,TELMISARTAN + AMLODIPINE,BLOOD PRESSURE,GLENMARK,10,165.00,150
M008,LOSAR 50MG TAB,LOSARTAN POTASSIUM,BLOOD PRESSURE,UNICHEM LABS,10,64.00,250
M009,ATORVA 10MG TAB,ATORVASTATIN,CHOLESTEROL,ZYDUS CADILA,10,82.00,400
M010,ROZAVEL 10MG TAB,ROSUVASTATIN,CHOLESTEROL,SUN PHARMA,10,168.00,180
M011,THYRONORM 50MCG TAB,LEVOTHYROXINE SODIUM,THYROID,ABBOTT INDIA,100,145.00,300
M012,THYRONORM 100MCG TAB,LEVOTHYROXINE SODIUM,THYROID,ABBOTT INDIA,100,172.00,220
M013,JANUVIA 50MG TAB,SITAGLIPTIN,DIABETES,MSD PHARMA,7,215.00,80
M014,GALVUS 50MG TAB,VILDAGLIPTIN,DIABETES,NOVARTIS,14,240.00,95
M015,ECOSPRIN 75MG TAB,ASPIRIN,HEART,USV LTD,14,21.50,800
M016,NESTLE NAN PRO 1 (400G TIN),INFANT MILK FORMULA,INFANT MILK,NESTLE INDIA,400,825.00,120
M017,SIMILAC ADVANCE 1 (400G),INFANT FORMULA WITH HMO,INFANT MILK,ABBOTT INDIA,400,795.00,90
M018,NESTLE LACTOGEN 1 (400G),SPRAY DRIED FORMULA,INFANT MILK,NESTLE INDIA,400,460.00,150
